country,probe,count,region
japan,favorite,47,Japan
iceland,favorite,7,Western-Europe
portugal,favorite,1,Southern-Europe
france,overrated,40,Western-Europe
japan,overrated,15,Japan
italy,overrated,13,Southern-Europe
switzerland,overrated,10,Western-Europe
iceland,overrated,1,Western-Europe
united states,overrated,1,North-America
monaco,overrated,1,Western-Europe
